train_dataset,test_dataset,feature_set,n_features,train_bias_level,test_bias_level,train_bias_bucket,test_bias_bucket,accuracy,precision,recall,f1,roc_auc,pr_auc,spd,eod,aaod,di,ppr_priv,ppr_unpriv,tpr_priv,tpr_unpriv,fpr_priv,fpr_unpriv,fairness_penalty
gs_v0_5,gs_v0_25,A_sem_protegido,10,0.5,0.25,medio,baixo,0.9988399872085076,0.9984233116295367,0.9961836508768863,0.9973022238425082,0.9999398541066317,0.9998035998222701,-0.08401421900953535,0.016920886806732094,0.008460443403366047,0.7352655928000515,0.31735285147910947,0.23333863246957412,0.9826251180358829,0.999546004842615,0.0,0.0,0.09353248910489548
gs_v0_5,gs_v0_75,A_sem_protegido,10,0.5,0.75,medio,medio,0.9988399872085076,0.9984233116295367,0.9961836508768863,0.9973022238425082,0.9999398541066317,0.9998035998222701,0.22513979294035766,,0.0003266439376926689,,0.0,0.22513979294035766,,0.9987004320185452,0.0,0.0003266439376926689,0.11273321843902516
gs_v0_5,gs_v0,A_sem_protegido,10,0.5,0.0,medio,baixo,0.9933028631610216,0.9772574501456419,0.9855754745405243,0.9813988374273392,0.9992393916968545,0.9961868348165117,0.0781744942016783,0.00514446378037281,0.017075027321925305,1.4067565315832344,0.19218989280245022,0.2703643870041285,0.9942781690140845,0.9994226327944573,0.0,0.029005590863477804,0.1267876292218027
gs_v0_5,gs_v1,A_sem_protegido,10,0.5,1.0,medio,alto,0.9985878724963361,0.9982546252431058,0.9925624752082507,0.9954004127197236,0.9998782904940972,0.9994120237569605,,,,,,,,,,,
gs_v0_5,pd_v0_5,A_sem_protegido,10,0.5,0.5,medio,medio,0.9973647413144024,0.9903800526293085,0.9926925238898258,0.9915349399671763,0.9998573579974904,0.9993124587614683,0.6755369060063734,-0.006039708725917969,0.0030198543629589847,44.29165883193304,0.015604320190846555,0.69114122619722,0.9979101358411703,0.9918704271152523,0.0,0.0,10.994063825257072
gs_v0_5,pd_v0_25,A_sem_protegido,10,0.5,0.25,medio,baixo,0.996950403937724,0.994249487403078,0.993664028641417,0.9939566718107602,0.9998053380188809,0.9994280903523249,0.3496808420069394,-0.001030609089972212,0.0006235921568833049,3.2218702676335256,0.15738130488571603,0.5070621468926554,1.0,0.9989693909100278,0.0002165752237943979,0.0,0.6433013277218301
gs_v0_5,pd_v0_75,A_sem_protegido,10,0.5,0.75,medio,medio,0.9992802042590179,0.9999657252536331,0.9964139344262295,0.9981866703161352,0.9999540432151772,0.9998398466302751,0.7093656237500112,-0.003991788321167866,0.0020028748659143996,18.77631651427556,0.03990509637811319,0.7492707201281245,1.0,0.9960082116788321,1.396141066093318e-05,0.0,4.622919200303164
gs_v0_5,pd_v0,A_sem_protegido,10,0.5,0.0,medio,baixo,0.9743886865629287,0.9022962006639617,0.9976039967373572,0.9475595583962813,0.9966121580029026,0.9879197790977402,-0.28928998867960076,0.0,0.06115542142703169,0.21894601753789156,0.370384115791427,0.08109412711182623,1.0,1.0,0.12231084285406338,0.0,0.2828748481421852
gs_v0_5,pd_v1,A_sem_protegido,10,0.5,1.0,medio,alto,0.9844590675440527,0.9328381402287419,0.9943680636077522,0.9626208688122384,0.9976165512081204,0.9889893700267787,0.8699658138595336,,8.462384700008462e-05,10281.386022378108,8.462384700008462e-05,0.8700504377065337,,0.9943680636077522,8.462384700008462e-05,0.0,3427.085357605272
gs_v0_5,gs_v0_25,B_sem_protegido,21,0.5,0.25,medio,baixo,0.9999874593211731,0.9999708675639457,0.9999708675639457,0.9999708675639457,0.9999960857253432,0.999990420964282,-0.08951970319536301,0.0,0.0,0.7228185960551508,0.322964318389753,0.23344461519438997,1.0,1.0,0.0,0.0,0.09167527678505306
gs_v0_5,gs_v0_75,B_sem_protegido,21,0.5,0.75,medio,medio,0.9999874593211731,0.9999708675639457,0.9999708675639457,0.9999708675639457,0.9999960857253432,0.999990420964282,0.22517933832659742,,1.0207623052895903e-05,,0.0,0.22517933832659742,,0.9999648765410417,0.0,1.0207623052895903e-05,0.11259477297482516
gs_v0_5,gs_v0,B_sem_protegido,21,0.5,0.0,medio,baixo,0.9994531571734302,0.9975190767958501,0.9994350708044591,0.9984761546420845,0.9999927768469326,0.9999756444286524,0.055771808888899904,0.0008802816901408717,0.0005917108102572197,1.2877707821247275,0.19380636379104985,0.24957817267994975,0.9991197183098591,1.0,0.0008437038599451593,0.001146843790318727,0.08625364587850637
gs_v0_5,gs_v1,B_sem_protegido,21,0.5,1.0,medio,alto,0.9994427821201759,0.9964915748381677,0.9999008330027767,0.9981932929092934,0.9999863171195232,0.9999258247587756,,,,,,,,,,,
gs_v0_5,pd_v0_5,B_sem_protegido,21,0.5,0.5,medio,medio,0.988148058513499,0.9292718212506028,0.9998702814891685,0.9632792485055508,0.9987939512021765,0.9925896609985935,0.6809892181914257,-0.0001876055281095912,0.00011870150915804239,44.41377202347234,0.015686018202316954,0.6966752363937426,1.0,0.9998123944718904,4.979749020649359e-05,0.0,11.023766887175258
gs_v0_5,pd_v0_25,B_sem_protegido,21,0.5,0.25,medio,baixo,0.9995184848322722,0.9981660435917331,0.9999293386093838,0.9990469130572911,0.9999927797048653,0.9999787796736359,0.3496734365847791,-0.0003091827269916525,0.0004624320415610318,3.2158267751813012,0.157807207901515,0.5074806444862942,1.0,0.9996908172730083,0.0007219174126479931,0.00010623605651758207,0.6415679566336583
gs_v0_5,pd_v0_75,B_sem_protegido,21,0.5,0.75,medio,medio,0.9996672642329422,0.9983632829815529,0.9999658469945355,0.9991639223983483,0.9999893888432219,0.99995045619314,0.7118895606360947,-3.801703163019976e-05,0.00013204726581193268,18.603044415834912,0.040441275032840944,0.7523308356689355,1.0,0.9999619829683698,0.0005724178370982604,0.0003463403371045948,4.5787760101921124
gs_v0_5,pd_v0,B_sem_protegido,21,0.5,0.0,medio,baixo,0.9986342997682448,0.9941965077675562,0.9999490212071778,0.9970644673469647,0.9999955088653563,0.9999903294795182,-0.20448761347084216,0.0,0.002047855141194223,0.2839611767418009,0.2855817405826684,0.08109412711182623,1.0,1.0,0.004095710282388446,0.0,0.23064357296755889
gs_v0_5,pd_v1,B_sem_protegido,21,0.5,1.0,medio,alto,0.9822656026028228,0.919166692047635,0.9998012257743912,0.9577898378241138,0.9992694663672368,0.99701534305739,0.8747921138485896,,0.0010021273068978257,5567.302220418575,0.00015715857300015716,0.8749492724215897,,0.9998012257743912,0.00015715857300015716,0.001159285879897983,1855.7260048865771
gs_v0_5,gs_v0_25,C_sem_protegido,29,0.5,0.25,medio,baixo,0.9999937296605865,1.0,0.9999708675639457,0.9999854335697951,0.9999979271755578,0.9999939991130655,-0.08951970319536301,0.0,0.0,0.7228185960551508,0.322964318389753,0.23344461519438997,1.0,1.0,0.0,0.0,0.09167527678505306
gs_v0_5,gs_v0_75,C_sem_protegido,29,0.5,0.75,medio,medio,0.9999937296605865,1.0,0.9999708675639457,0.9999854335697951,0.9999979271755578,0.9999939991130655,0.2251714292493495,,0.0,,0.0,0.2251714292493495,,0.9999648765410417,0.0,0.0,0.11258571462467475
gs_v0_5,gs_v0,C_sem_protegido,29,0.5,0.0,medio,baixo,0.9997299541597187,0.998645801986157,0.9998493522145224,0.9992472146943692,0.9999960848255076,0.9999852479494391,0.05496872751942555,0.0004401408450703803,0.0005463520366478759,1.283502599062452,0.19389144121150248,0.24886016873092803,0.9995598591549296,1.0,0.0008437038599451593,0.00019114063171978782,0.08486445486589896
gs_v0_5,gs_v1,C_sem_protegido,29,0.5,1.0,medio,alto,0.9998549706888129,0.9991082486995293,0.9999504165013884,0.9995291552053132,0.999989618063553,0.9999312638043995,,,,,,,,,,,
