model_stage,test_bias_bucket,f1_mean,fairness_penalty_mean,spd_abs_mean,eod_abs_mean,aaod_mean,di_distance_mean,n
baseline,alto,0.9820426755961539,1517.5349339496634,0.8745616116412185,,0.00042193296450324287,4551.729818304385,18
prejudice_remover,alto,0.9287228358829517,320.1167393757924,0.7818831988849675,,0.0451913230011483,1343.1640210301066,7
baseline,baixo,0.9994370433332362,0.2626895474605298,0.17428129485752125,0.00020234167392985114,0.0002531222683031205,0.8760214310423647,36
prejudice_remover,baixo,0.7110238883220529,0.35787750713085265,0.1969246452311629,0.2588083383180994,0.18174519430728087,0.8116516327469402,24
baseline,medio,0.9918400205671171,3.9568246926989143,0.4182302556923377,6.822666288133875e-05,0.00017580134756965804,20.470045494118377,36
prejudice_remover,medio,0.8417608561224666,10.645787472452703,0.36101304482257546,0.259365315917625,0.12099340322922802,45.912917602428685,25
