dataset,rows,fraud_rate,bias_level_name,bias_bucket_name,representation_rate_privileged,representation_rate_unprivileged,fraud_rate_privileged,fraud_rate_unprivileged,positive_label_gap,positive_label_di,n_privileged,n_unprivileged,class_imbalance,abs_class_imbalance
gs_v0,148123,0.1792564287787852,0.0,baixo,0.4576835465218153,0.5423164534781847,0.19329589926833418,0.24871656794112368,0.0554206686727895,1.2867141459418872,23508,27855,-0.08463290695636937,0.08463290695636937
gs_v0_25,159481,0.21523567070685537,0.25,baixo,0.22456443129520054,0.7754355687047995,0.322964318389753,0.23344461519438997,-0.08951970319536301,0.7228185960551508,16395,56613,-0.5508711374095989,0.5508711374095989
gs_v0_5,159481,0.21523567070685537,0.5,medio,0.09753326247113588,0.9024667375288641,0.3002630590003758,0.24614166192835676,-0.054121397072019045,0.8197533947326124,10644,98488,-0.8049334750577283,0.8049334750577283
gs_v0_75,159481,0.21523567070685537,0.75,medio,0.02781899965399254,0.9721810003460074,0.0,0.22517933832659742,0.22517933832659742,,3618,126437,-0.9443620006920149,0.9443620006920149
gs_v1,131008,0.1539447972642892,1.0,alto,0.0,1.0,,0.1539447972642892,,,0,131008,-1.0,1.0
pd_v0,169144,0.2319443787541976,0.0,baixo,0.6342611663626199,0.3657388336373801,0.2826436568318179,0.08109412711182623,-0.20154952971999168,0.28691295612581125,32334,18645,0.2685223327252398,0.2685223327252398
pd_v0_25,168219,0.25238528346976263,0.25,baixo,0.7206202592695439,0.2793797407304561,0.15719877502180218,0.5075852688847039,0.3503864938629017,3.2289390856532183,49307,19116,0.44124051853908774,0.44124051853908774
pd_v0_5,148752,0.15547353985156503,0.5,medio,0.7272846108140226,0.27271538918597743,0.015636999395434715,0.6968059610440542,0.6811689616486195,44.56136010643382,61201,22949,0.45456922162804514,0.45456922162804514
pd_v0_75,147264,0.19882659713168188,0.75,medio,0.6808739778037384,0.3191260221962617,0.03989169191174499,0.752273637247612,0.712381945335867,18.857902515438962,74602,34966,0.36174795560747663,0.36174795560747663
pd_v1,149991,0.2012454080578168,1.0,alto,0.7056911540134964,0.29430884598650364,0.0,0.8749782596092527,0.8749782596092527,,82719,34498,0.41138230802699266,0.41138230802699266
